Reporting Period,Project ID,Project County,Project City,Project ZIP,Gas Utility,Electric Utility,Project Completion Date,Total Project Cost,Pre-Retrofit Home Heating Fuel Type,Year Home Built,Size Of Home,Number Of Units,Job Type,Type Of Dwelling,Measure Type,Estimated Annual kWh Savings,Estimated Annual MMBtu Savings,First Year Modeled Project Energy Savings $ Estimate,Location 1
09/30/2021,422673,Westchester,Cortlandt,10567,,Consolidated Edison,11-11-2019,7442,Oil,,"1,944",1,Home Performance,Single Family,Building Shell,464,27,617,"Cortlandt, NY 10567
(41.290357, -73.921894)"
04/30/2022,461994,Warren,Athol,12810,,National Grid,08/27/2020,6798,Oil,1951,"1,260",1,Home Performance,Single Family,Building Shell,615,40,782,"Athol, NY 12810
(43.484721, -73.884905)"
09/30/2021,399847,Oswego,Fulton,13069,,National Grid,10/25/2019,9732,Pellets,2007,"2,560",1,Home Performance,Single Family,Building Shell,510,39,648,"Fulton, NY 13069
(43.324957, -76.390481)"
04/30/2022,465091,Herkimer,Poland,13431,,National Grid,08-11-2020,5140,Propane,,924,1,Home Performance,Mobile,Building Shell,585,13,412,"Poland, NY 13431
(43.211598, -75.075027)"
04/30/2022,444576,Fulton,Stratford,13470,,National Grid,07/30/2020,2799,Oil,1975,"2,120",1,Home Performance,Single Family,Building Shell,795,14,318,"Stratford, NY 13470
(43.179606, -74.664746)"
09/30/2021,406860,Oneida,Utica,13501,National Grid,National Grid,10-10-2019,10339,Natural Gas,,"2,390",1,Home Performance,Single Family,Building Shell,740,91,820,"Utica, NY 13501
(43.085324, -75.228495)"
09/30/2021,424659,Tioga,Owego,13827,,New York State Electric & Gas,10-10-2019,3208,Propane,1942,864,1,Home Performance,Single Family,Building Shell,0,12,352,"Owego, NY 13827
(42.111474, -76.252877)"
09/30/2021,408036,Albany,Albany,12205,,National Grid,09/30/2019,5374,Oil,1955,"1,014",1,Home Performance,Single Family,Building Shell,494,23,459,"Albany, NY 12205
(42.712719, -73.824203)"
09/30/2021,404975,Westchester,Millwood,10546,,Consolidated Edison,09-03-2019,4435,Oil,1932,"1,886",1,Home Performance,Single Family,Building Shell,1186,8,490,"Millwood, NY 10546
(41.196072, -73.796072)"
04/30/2022,439970,Oneida,Utica,13502,National Grid,National Grid,03/18/2020,4721,Natural Gas,,882,1,Home Performance,Single Family,Building Shell,0,17,143,"Utica, NY 13502
(43.125063, -75.202584)"
04/30/2022,453981,Oswego,Fulton,13069,,National Grid,02/25/2020,7285,Propane,1990,910,1,Home Performance,Mobile,Building Shell,259,61,1486,"Fulton, NY 13069
(43.324957, -76.390481)"
04/30/2022,446208,Jefferson,Adams,13605,,National Grid,02/25/2020,4965,Wood,1958,"1,842",1,Home Performance,Mobile,Building Shell,0,16,189,"Adams, NY 13605
(43.808485, -76.053889)"
09/30/2021,406888,Oneida,Rome,13440,National Grid,National Grid,08-05-2019,5722,Natural Gas,1993,"1,248",1,Home Performance,Mobile,Building Shell,1025,34,386,"Rome, NY 13440
(43.214717, -75.454665)"
04/30/2022,436675,Onondaga,Syracuse,13208,National Grid,National Grid,02/18/2020,4538,Natural Gas,1953,"1,278",1,Home Performance,Single Family,Building Shell,0,34,285,"Syracuse, NY 13208
(43.075602, -76.14789)"
04/30/2022,452037,Oswego,Fulton,13069,,National Grid,02-07-2020,5435,Other,,"1,064",1,Home Performance,Mobile,Building Shell,510,14,432,"Fulton, NY 13069
(43.324957, -76.390481)"
09/30/2021,413886,Chemung,Lowman,14861,,New York State Electric & Gas,07-11-2019,5312,Propane,1994,"1,120",1,Home Performance,Mobile,Building Shell,0,15,356,"Lowman, NY 14861
(42.094296, -76.691575)"
04/30/2022,448782,Delaware,Delhi,13753,,New York State Electric & Gas,01/28/2020,1728,Oil,,"2,020",1,Home Performance,Single Family,Heating and Cooling,0,6,103,"Delhi, NY 13753
(42.303271, -74.925803)"
09/30/2021,377456,Otsego,Otego,13825,,Municipal,07-08-2019,4079,Propane,2001,Report SF less than 800,1,Home Performance,Single Family,Building Shell,0,12,262,"Otego, NY 13825
(42.440099, -75.197571)"
04/30/2022,421617,Oneida,Clinton,13323,,National Grid,01/21/2020,7457,Oil,1831,"3,525",1,Home Performance,Single Family,Building Shell,510,51,1029,"Clinton, NY 13323
(43.049079, -75.380619)"
