id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
95,India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",25-04-2023 02:00:00,CO,1,12,8,NA
96,India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",25-04-2023 02:00:00,OZONE,4,88,34,NA
97,India,Assam,Silchar,"Tarapur, Silchar - PCBA",25-04-2023 02:00:00,PM2.5,NA,NA,NA,NA
98,India,Assam,Silchar,"Tarapur, Silchar - PCBA",25-04-2023 02:00:00,PM10,4,46,21,NA
99,India,Assam,Silchar,"Tarapur, Silchar - PCBA",25-04-2023 02:00:00,NO2,7,23,11,NA
100,India,Assam,Silchar,"Tarapur, Silchar - PCBA",25-04-2023 02:00:00,NH3,1,1,1,NA
101,India,Assam,Silchar,"Tarapur, Silchar - PCBA",25-04-2023 02:00:00,SO2,2,9,6,NA
102,India,Assam,Silchar,"Tarapur, Silchar - PCBA",25-04-2023 02:00:00,CO,30,40,36,NA
103,India,Assam,Silchar,"Tarapur, Silchar - PCBA",25-04-2023 02:00:00,OZONE,1,12,3,NA
104,India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",25-04-2023 02:00:00,PM2.5,NA,NA,NA,NA
105,India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",25-04-2023 02:00:00,PM10,17,33,24,NA
106,India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",25-04-2023 02:00:00,NO2,13,27,19,NA
107,India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",25-04-2023 02:00:00,NH3,1,8,4,NA
108,India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",25-04-2023 02:00:00,SO2,NA,NA,NA,NA
109,India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",25-04-2023 02:00:00,CO,6,24,18,NA
110,India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",25-04-2023 02:00:00,OZONE,1,20,8,NA
111,India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",25-04-2023 02:00:00,PM2.5,17,170,46,NA
112,India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",25-04-2023 02:00:00,PM10,32,231,88,NA
113,India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",25-04-2023 02:00:00,NO2,35,72,51,NA
114,India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",25-04-2023 02:00:00,NH3,3,4,3,NA
115,India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",25-04-2023 02:00:00,SO2,9,23,18,NA
116,India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",25-04-2023 02:00:00,CO,40,64,55,NA
117,India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",25-04-2023 02:00:00,OZONE,12,46,24,NA
118,India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",25-04-2023 02:00:00,PM2.5,33,190,78,NA
119,India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",25-04-2023 02:00:00,PM10,41,135,101,NA
120,India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",25-04-2023 02:00:00,NO2,15,38,24,NA
121,India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",25-04-2023 02:00:00,NH3,6,8,7,NA
122,India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",25-04-2023 02:00:00,SO2,10,11,10,NA
123,India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",25-04-2023 02:00:00,CO,42,66,56,NA
124,India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",25-04-2023 02:00:00,OZONE,14,39,20,NA
125,India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",25-04-2023 02:00:00,PM2.5,42,90,64,NA
126,India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",25-04-2023 02:00:00,PM10,45,167,104,NA
127,India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",25-04-2023 02:00:00,NO2,7,15,10,NA
128,India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",25-04-2023 02:00:00,NH3,1,2,1,NA
129,India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",25-04-2023 02:00:00,SO2,3,122,76,NA
130,India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",25-04-2023 02:00:00,CO,6,98,28,NA
131,India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",25-04-2023 02:00:00,OZONE,6,112,70,NA
132,India,Bihar,Begusarai,"DRCC Anandpur, Begusarai - BSPCB",25-04-2023 02:00:00,PM2.5,NA,NA,NA,NA
133,India,Bihar,Begusarai,"DRCC Anandpur, Begusarai - BSPCB",25-04-2023 02:00:00,PM10,NA,NA,NA,NA
134,India,Bihar,Begusarai,"DRCC Anandpur, Begusarai - BSPCB",25-04-2023 02:00:00,NO2,13,19,14,NA
135,India,Bihar,Begusarai,"DRCC Anandpur, Begusarai - BSPCB",25-04-2023 02:00:00,NH3,2,8,6,NA
136,India,Bihar,Begusarai,"DRCC Anandpur, Begusarai - BSPCB",25-04-2023 02:00:00,SO2,15,55,39,NA
137,India,Bihar,Begusarai,"DRCC Anandpur, Begusarai - BSPCB",25-04-2023 02:00:00,CO,8,42,27,NA
138,India,Bihar,Begusarai,"DRCC Anandpur, Begusarai - BSPCB",25-04-2023 02:00:00,OZONE,4,29,15,NA
139,India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",25-04-2023 02:00:00,PM2.5,12,283,88,NA
140,India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",25-04-2023 02:00:00,PM10,44,179,110,NA
141,India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",25-04-2023 02:00:00,NO2,14,27,19,NA
142,India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",25-04-2023 02:00:00,NH3,1,11,3,NA
143,India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",25-04-2023 02:00:00,SO2,10,14,12,NA
144,India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",25-04-2023 02:00:00,CO,2,37,18,NA
