Reporting Period,Project ID,Project County,Project City,Project ZIP,Gas Utility,Electric Utility,Project Completion Date,Total Project Cost,Pre-Retrofit Home Heating Fuel Type,Size Of Home,Number Of Units,Job Type,Type Of Dwelling,Measure Type,Estimated Annual kWh Savings,Estimated Annual MMBtu Savings,First Year Modeled Project Energy Savings $ Estimate
2021-09-30T00:00:00,412393,Erie,Buffalo,14208,National Fuel Gas Distribution,National Grid,2019-10-28T00:00:00,1982,Natural Gas,"1,380",1,Home Performance,Single Family,Building Shell,368,6,83
2021-09-30T00:00:00,455826,Oneida,Oriskany Falls,13425,NA,New York State Electric & Gas,2020-06-24T00:00:00,3040,Oil,"1,635",1,Home Performance,Single Family,Building Shell,259,11,217
2021-09-30T00:00:00,437251,Erie,Buffalo,14220,National Fuel Gas Distribution,New York State Electric & Gas,2020-01-07T00:00:00,5859,Natural Gas,"1,432",1,Home Performance,Single Family,Building Shell,0,53,390
2021-09-30T00:00:00,501045,Sullivan,Monticello,12701,NA,New York State Electric & Gas,2021-07-27T00:00:00,12918,Oil,"2,000",1,Home Performance,Single Family,Building Shell,0,27,527
2021-09-30T00:00:00,415054,Erie,Buffalo,14211,National Fuel Gas Distribution,National Grid,2019-07-22T00:00:00,6995,Natural Gas,"1,263",1,Home Performance,Single Family,Building Shell,443,55,454
2021-09-30T00:00:00,410435,Oneida,Utica,13501,National Grid,National Grid,2019-12-03T00:00:00,7025,Natural Gas,"1,229",1,Home Performance,Single Family,Building Shell,443,43,402
2021-09-30T00:00:00,414215,Monroe,Rochester,14621,Rochester Gas & Electric,Rochester Gas & Electric,2019-08-26T00:00:00,2193,Natural Gas,986,1,Home Performance,Single Family,Building Shell,443,4,78
2021-09-30T00:00:00,505590,Monroe,Rochester,14626,Rochester Gas & Electric,Rochester Gas & Electric,2021-07-13T00:00:00,2945,Natural Gas,"1,690",1,Home Performance,Single Family,Building Shell,0,6,55
2021-09-30T00:00:00,469783,Madison,Bouckville,13310,NA,New York State Electric & Gas,2020-12-29T00:00:00,3466,Propane,Report SF less than 800,1,Home Performance,Single Family,Building Shell,393,18,474
2021-09-30T00:00:00,477596,Queens,Queens,11411,National Grid,Consolidated Edison,2021-02-25T00:00:00,8970,Natural Gas,"2,611",1,Home Performance,Single Family,Building Shell,705,57,806
